beneficiary_id,beneficiary_name,age,gender,occupation,bpl_status,program_id,program_name,category,state,district,enrollment_date,enrollment_status,outcome_achieved,source,age_group,is_completed,is_bpl,is_female,days_enrolled,gender_enc,category_enc,state_enc,status_enc
BEN5001,Sunita Pandey,68,Male,Small Trader,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-04-20,Completed,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),1,1,0,622,1,1,9,1
BEN5002,Mala Yadav,22,Male,Farmer,No,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-05-26,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),0,0,0,586,1,1,9,0
BEN5003,Anjali Tiwari,46,Male,Housewife,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-04-05,Completed,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),1,1,0,637,1,1,9,1
BEN5004,Rekha Kumar,37,Male,Domestic Worker,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-05-24,Completed,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),1,1,0,588,1,1,9,1
BEN5005,Vijay Patel,33,Male,Unemployed,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-09-12,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,1,0,477,1,1,9,0
BEN5006,Sunil Singh,63,Female,Small Trader,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-10-13,Completed,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),1,1,1,446,0,1,9,1
BEN5007,Rohit Banerjee,8,Male,Student,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-09-11,Dropped,Discontinued,NITI Aayog SDG Index / NGO Darpan Program Reports,Child(0-14),0,1,0,478,1,1,9,2
BEN5008,Vijay Rao,64,Male,Small Trader,No,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-11-14,Active,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,0,0,414,1,1,9,0
BEN5009,Usha Banerjee,19,Female,Fisherman,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-03-13,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),0,1,1,660,0,1,9,0
BEN5010,Pooja Nair,17,Male,Student,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-10-14,Dropped,Discontinued,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),0,1,0,445,1,1,9,2
BEN5011,Smita Joshi,61,Female,Student,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-06-04,Dropped,Discontinued,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,1,577,0,1,9,2
BEN5012,Vikas Verma,55,Female,Daily Wage Worker,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-08-03,Completed,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),1,1,1,517,0,1,9,1
BEN5013,Asha Mishra,21,Male,Student,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-02-27,Completed,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),1,1,0,674,1,1,9,1
BEN5014,Rohit Agarwal,23,Male,Weaver,No,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-01-09,Completed,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),1,0,0,723,1,1,9,1
BEN5015,Sunil Yadav,27,Female,Farmer,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-03-01,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,1,1,672,0,1,9,0
BEN5016,Priya Kumar,38,Female,Unemployed,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-09-04,Completed,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),1,1,1,485,0,1,9,1
BEN5017,Smita Das,18,Female,Student,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-10-02,Completed,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),1,1,1,457,0,1,9,1
BEN5018,Priya Verma,66,Male,Unemployed,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-11-04,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,0,424,1,1,9,0
